Interaction Type,Agreement Interaction (R3DMA),Agreement Match (R3DMA),Agreement Interaction (CL),Agreement Match (CL),Agreement Interaction (FR),Agreement Match (FR),Agreement Interaction (MC),Agreement Match (MC),Agreement Interaction (RV),Agreement Matche (RV)
Base Pairing,0.9669778296382731,5.713418903150525,0.9982497082847142,0.817269544924154,0.9109684947491249,0.9653442240373395,0.9154025670945157,0.8982497082847141,0.9380396732788798,0.8946324387397899
Not Base Pairing,0.9228113165515706,5.528736912452662,0.7273334818445087,0.9228113165515706,0.9751615059033192,0.7273334818445087,0.9886388950768545,0.9751615059033192,0.9848518601024727,0.9886388950768545
